X14,X13,X12,X11,X10,X9,X8,X7,X6,X5,X4,X3,X2,X1,class
-0.97576,-0.9,0,1,-1,-1,-1,-0.888772,-0.25,-0.538462,0,-0.181429,-0.749474,1,-1
-0.99986,-0.8,0,1,-0.940299,1,-1,-0.958947,0,0.076923,0,-0.220357,-0.832181,1,-1
-1,-0.72,0,-1,-1,-1,-1,-0.77193,-1,-1,-1,-0.910714,-0.744361,-1,-1
-1,-0.84,0,1,-1,-1,-1,-0.938597,-0.25,0.230769,0,-0.892857,-0.706767,-1,-1
-0.99748,-0.84,0,-1,-0.970149,1,-1,-1,-1,-1,0,-0.976071,-0.929925,-1,-1
-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.155489,-1,-1
-0.99998,-0.85,0,1,-1,-1,-1,-1,-0.25,0.076923,-1,-0.875,-0.142857,-1,-1
-1,-0.9,0,-1,-1,-1,-1,-1,-1,-1,-1,-0.958214,-0.746767,1,-1
-0.99974,-0.72,0,-1,-1,-1,-1,-0.929825,-0.25,1,-1,-0.9225,-0.526316,-1,-1
-0.9922,-1,0,-1,-1,-1,-1,-0.982456,-0.25,-0.230769,0,-0.881071,-0.243008,-1,-1
-1,-0.822,0,1,-1,-1,-1,-1,0,-0.692308,0,0.041786,-0.611429,1,-1
-1,-0.68,0,1,-1,-1,-1,-0.754386,-0.25,-0.230769,-1,-0.946429,-0.463759,1,-1
-0.961,-0.746,0,-1,-0.880597,1,-1,-0.994035,-0.25,-0.076923,0,-0.9375,-0.689323,1,-1
-0.99992,-0.82,0,-1,-1,-1,-1,-0.894737,-1,-1,-1,-0.785714,0.145263,1,-1
-0.958,-0.784,0,-1,-1,-1,-1,-0.994035,-0.25,-0.538462,-1,-0.991071,-0.566316,1,-1
-1,-0.712,-1,-1,-1,-1,1,-0.982456,-0.25,-0.076923,0,-0.964286,-0.215639,1,-1
-1,-0.52,0,1,-1,-1,-1,-0.92386,0,-0.692308,-1,-0.636786,-0.390977,1,-1
-1,-0.92,-1,-1,-1,-1,-1,-0.982456,-0.25,0.076923,0,-0.681429,-0.882105,1,-1
-0.99988,-0.64,0,1,-1,-1,-1,-0.929825,-0.25,0.230769,0,-0.678571,-0.666767,-1,-1
-1,-0.788,0,1,-0.910448,1,1,-0.929825,0,-0.538462,0,-0.946429,-0.398496,-1,-1
-0.9984,-0.72,0,1,-0.970149,1,-1,-0.970877,-0.25,-0.538462,-1,-0.773929,-0.706767,1,-1
-0.99964,-0.8,0,-1,-0.701493,1,-1,-1,-1,-1,0,-0.979286,-0.313383,-1,-1
-0.9972,-0.78,0,-1,-1,-1,-1,-0.979649,-0.25,0.076923,0,-0.973214,-0.543759,1,-1
-0.99996,-1,0,1,-1,-1,-1,-0.824561,-0.25,0.076923,-1,-0.821429,-0.413534,-1,-1
-0.9998,-0.84,0,-1,-1,-1,-1,-0.991228,-0.25,-0.692308,0,-0.839286,-0.746767,1,-1
-0.99708,-0.824,0,-1,-0.850746,1,-1,-1,-1,-1,0,-0.7975,-0.473684,1,-1
-0.99996,-0.868,0,1,-1,-1,-1,-0.947368,0.5,0.692308,-1,-0.946429,-0.769323,1,-1
-0.9968,-1,0,1,-0.970149,1,-1,-0.991228,-0.25,0.538462,0,-0.455357,-0.937444,-1,-1
