A,B,C,D,E,F,G,H,Class
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,1
I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,1
F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,1
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,1
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,1
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,1
F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,1
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,1
I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,1
M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,1
I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,1
I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,1
M,0.325,0.23,0.09,0.147,0.06,0.034,0.045,1
M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,1
M,0.355,0.265,0.09,0.168,0.05,0.041,0.063,1
F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,1
I,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,1
M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,1
I,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,1
I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,1
F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,1
I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,1
I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,1
I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,1
I,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,1
I,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,1
F,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,1
M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,1
I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,1
M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,1
F,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,1
I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,1
I,0.315,0.235,0.055,0.151,0.065,0.027,0.039,1
I,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,1
I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,1
I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,1
I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,1
F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,1
M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,1
M,0.665,0.525,0.16,1.363,0.629,0.279,0.34,1
I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,1
I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,1
I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,1
I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,1
I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,1
I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,1
I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,1
I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,1
I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,1
I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,1
F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,1
M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,1
I,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,1
I,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,1
I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,1
I,0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,1
I,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,1
I,0.515,0.39,0.125,0.5705,0.238,0.1265,0.185,1
I,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,1
I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,1
F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,1
M,0.515,0.395,0.135,1.007,0.472,0.2495,0.252,1
I,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,1
I,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,1
I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,1
I,0.525,0.405,0.145,0.6965,0.3045,0.1535,0.21,1
I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,1
I,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,1
I,0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925,1
I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,1
M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,1
M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,1
I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,1
F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,1
M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,1
I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,1
M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,1
M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,1
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,1
F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109,1
I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,1
I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,1
I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,1
F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,1
I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,1
I,0.45,0.35,0.125,0.4775,0.2235,0.089,0.118,1
M,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,1
F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,1
M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,1
I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,1
I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,1
F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,1
M,0.63,0.465,0.15,1.027,0.537,0.188,0.176,1
I,0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,1
I,0.405,0.3,0.09,0.2885,0.138,0.0635,0.0765,1
I,0.46,0.35,0.1,0.471,0.252,0.077,0.123,1
F,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,1
I,0.36,0.27,0.09,0.232,0.12,0.0435,0.056,1
M,0.535,0.405,0.14,0.818,0.402,0.1715,0.189,1
I,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,1
I,0.47,0.385,0.13,0.587,0.264,0.117,0.174,1
F,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,1
I,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,1
I,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,1
I,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,1
I,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,1
M,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,1
I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,1
M,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,1
M,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,1
I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,1
I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,1
M,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,1
M,0.56,0.45,0.14,0.9,0.472,0.182,0.218,1
I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,1
I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,1
M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,1
I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,1
M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,1
I,0.335,0.26,0.085,0.192,0.097,0.03,0.054,1
I,0.43,0.325,0.105,0.309,0.119,0.08,0.098,1
M,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,1
I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,1
I,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,1
I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,1
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,1
I,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,1
I,0.53,0.395,0.115,0.475,0.2025,0.101,0.148,1
I,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,1
I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,1
I,0.38,0.3,0.1,0.286,0.1305,0.056,0.09,1
I,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,1
I,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,1
M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,1
I,0.36,0.27,0.09,0.2075,0.098,0.039,0.062,1
M,0.66,0.485,0.155,1.2275,0.61,0.274,0.3,1
I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,1
I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,1
I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,1
M,0.555,0.435,0.145,0.9205,0.404,0.2275,0.255,1
I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,1
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,2
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,2
F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,2
M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,2
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,2
M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,2
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,2
I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,2
F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,2
F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,2
F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,2
I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,2
F,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,2
I,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,2
F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,2
F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,2
M,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,2
M,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,2
M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,2
F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,2
M,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,2
F,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,2
F,0.575,0.46,0.16,1.103,0.538,0.221,0.249,2
M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,2
M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,2
I,0.5,0.375,0.12,0.542,0.215,0.116,0.17,2
M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,2
M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,2
M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,2
M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,2
M,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,2
I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,2
I,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,2
F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,2
I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,2
M,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,2
M,0.585,0.47,0.165,1.409,0.8,0.229,0.295,2
F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,2
M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,2
F,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,2
M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,2
I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,2
F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,2
M,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,2
M,0.67,0.51,0.175,1.5265,0.651,0.4475,0.345,2
I,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,2
I,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,2
M,0.565,0.43,0.15,0.831,0.4245,0.1735,0.219,2
I,0.575,0.45,0.135,0.807,0.3615,0.176,0.254,2
F,0.6,0.475,0.15,1.13,0.575,0.196,0.305,2
M,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,2
M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,2
M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,2
F,0.655,0.51,0.15,1.043,0.4795,0.223,0.305,2
I,0.465,0.325,0.14,0.7615,0.362,0.1535,0.209,2
M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,2
M,0.625,0.495,0.175,1.254,0.5815,0.286,0.3185,2
I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,2
I,0.525,0.4,0.145,0.6095,0.248,0.159,0.175,2
I,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,2
M,0.575,0.435,0.135,0.992,0.432,0.2225,0.239,2
M,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,2
M,0.62,0.47,0.15,1.309,0.587,0.4405,0.325,2
F,0.65,0.51,0.185,1.375,0.531,0.384,0.3985,2
I,0.47,0.375,0.105,0.441,0.167,0.0865,0.145,2
M,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,2
F,0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,2
F,0.705,0.57,0.185,1.761,0.747,0.3725,0.488,2
I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,2
M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,2
F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,2
M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,2
F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,2
M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,2
M,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,2
F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,2
M,0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,2
F,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,2
F,0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315,2
M,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,2
F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,2
