V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,1
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,1
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,1
F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,1
I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,1
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,1
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,1
I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,1
I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,1
I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,1
M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,1
F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,1
M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,1
M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,1
I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,1
M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,1
I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,1
I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,1
I,0.385,0.29,0.095,0.312,0.143,0.0635,0.086,1
I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,1
F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,1
I,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037,1
I,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,1
I,0.42,0.32,0.115,0.376,0.169,0.092,0.1,1
F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,1
I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,1
M,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,1
I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,1
F,0.53,0.425,0.15,0.8495,0.328,0.232,0.202,1
F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,1
M,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,1
I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,1
I,0.4,0.32,0.095,0.348,0.194,0.053,0.087,1
I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,1
I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,1
F,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,1
I,0.53,0.4,0.125,0.617,0.279,0.127,0.19,1
F,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,1
F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,1
I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,1
I,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,1
I,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,1
I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,1
I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,1
I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,1
I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,1
I,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,1
I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,1
M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,1
I,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,1
F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,1
M,0.635,0.51,0.185,1.308,0.544,0.318,0.377,1
I,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.058,1
I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,1
I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,1
I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,1
I,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,1
I,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,1
F,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,1
F,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,1
M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,1
F,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,1
I,0.405,0.3,0.09,0.269,0.103,0.067,0.11,1
I,0.435,0.345,0.12,0.3215,0.13,0.056,0.1185,1
M,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,1
M,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,1
I,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,1
I,0.375,0.275,0.085,0.22,0.109,0.05,0.0605,1
I,0.255,0.19,0.06,0.086,0.04,0.0185,0.025,1
I,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,1
M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,1
M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,1
