age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
1,Private,205019.0,Assoc-acdm,12.0,Never-married,Sales,Not-in-family,Black,Male,0,0,3,United-States,<=50K
2,Private,367260.0,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,4,United-States,<=50K
3,Self-emp-not-inc,265477.0,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,32275.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,2,United-States,<=50K
1,Private,105598.0,Some-college,10.0,Divorced,Tech-support,Not-in-family,White,Male,0,0,3,United-States,<=50K
4,,212759.0,10th,6.0,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,<=50K
4,Private,249977.0,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
0,,304873.0,10th,6.0,Never-married,,Own-child,White,Female,4,0,1,United-States,<=50K
0,Private,102632.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,120985.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,1,United-States,<=50K
1,Private,185814.0,HS-grad,9.0,Never-married,Transport-moving,Unmarried,Black,Female,0,0,1,United-States,<=50K
0,Private,214542.0,Bachelors,13.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,State-gov,102628.0,Masters,14.0,Widowed,Protective-serv,Unmarried,White,Male,0,0,2,United-States,<=50K
1,Private,37274.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,<=50K
3,Private,120939.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,36270.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
4,,187656.0,1st-4th,2.0,Divorced,,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Private,130408.0,HS-grad,9.0,Divorced,Sales,Unmarried,Black,Female,0,0,2,United-States,<=50K
4,Private,203580.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,,<=50K
3,Private,204518.0,7th-8th,4.0,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Local-gov,209109.0,Masters,14.0,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
0,Private,371987.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,278130.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,191954.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Self-emp-not-inc,78383.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,94235.0,HS-grad,9.0,Never-married,Craft-repair,Other-relative,White,Male,0,0,2,United-States,<=50K
4,Private,101128.0,Assoc-acdm,12.0,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,1,Iran,<=50K
1,Private,92262.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,35633.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,25429.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
1,Private,227689.0,Assoc-voc,11.0,Divorced,Tech-support,Not-in-family,White,Female,0,0,4,United-States,<=50K
1,Private,426017.0,11th,7.0,Never-married,Other-service,Own-child,White,Female,0,0,0,United-States,<=50K
3,Local-gov,287480.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,45857.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
2,Private,351299.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,3,United-States,<=50K
2,Private,33983.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,111746.0,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,Portugal,<=50K
3,Federal-gov,371373.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Local-gov,114060.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
3,,251804.0,5th-6th,3.0,Widowed,,Unmarried,Black,Female,0,0,1,United-States,<=50K
2,Self-emp-not-inc,190387.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,210525.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,245724.0,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,<=50K
0,Private,82804.0,HS-grad,9.0,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,2,United-States,<=50K
0,,165532.0,12th,8.0,Never-married,,Own-child,White,Male,0,0,1,United-States,<=50K
4,Self-emp-inc,103948.0,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,4,United-States,<=50K
4,Private,51290.0,7th-8th,4.0,Divorced,Other-service,Not-in-family,White,Female,0,0,2,United-States,<=50K
