age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
3,Self-emp-not-inc,83311.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,<=50K
1,Private,186824.0,HS-grad,9.0,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,2,United-States,<=50K
0,Private,266015.0,Some-college,10.0,Never-married,Sales,Own-child,Black,Male,0,0,2,United-States,<=50K
0,Private,172987.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,216666.0,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,<=50K
0,,200681.0,Some-college,10.0,Never-married,,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,446839.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K
1,Private,117747.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1,1,,<=50K
2,Private,124692.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,77143.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,Black,Male,0,0,2,Germany,<=50K
2,Self-emp-not-inc,56920.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
4,Private,181232.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,2,United-States,<=50K
2,Private,228456.0,Bachelors,13.0,Separated,Other-service,Other-relative,Black,Male,0,0,3,United-States,<=50K
1,Private,124953.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,0,3,2,United-States,<=50K
1,Private,304030.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,2,United-States,<=50K
2,Private,99374.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,153790.0,Some-college,10.0,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,2,United-States,<=50K
3,Local-gov,140359.0,Preschool,1.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,1,United-States,<=50K
4,State-gov,268700.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,390781.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,2,United-States,<=50K
0,Private,245918.0,11th,7.0,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
1,Private,190174.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,127595.0,HS-grad,9.0,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,303296.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,2,Laos,<=50K
1,Private,423158.0,Some-college,10.0,Never-married,Tech-support,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,Private,127921.0,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,1,0,3,United-States,<=50K
2,Private,261192.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,2,United-States,<=50K
3,Local-gov,329752.0,11th,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K
2,Private,481060.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,0,0,2,United-States,<=50K
3,Private,174319.0,HS-grad,9.0,Divorced,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,277946.0,Assoc-acdm,12.0,Separated,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,317253.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
0,Private,61777.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K
2,Self-emp-not-inc,204116.0,Bachelors,13.0,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,1,0,2,United-States,<=50K
0,Private,298227.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K
2,Private,116632.0,Assoc-acdm,12.0,Never-married,Farming-fishing,Own-child,White,Male,0,0,2,United-States,<=50K
1,Private,303990.0,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,193626.0,HS-grad,9.0,Married-spouse-absent,Craft-repair,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Private,178107.0,Bachelors,13.0,Never-married,Craft-repair,Own-child,White,Male,0,0,0,United-States,<=50K
0,Private,181054.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,,222216.0,Assoc-voc,11.0,Widowed,,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Private,108658.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,163862.0,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,229328.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,2,United-States,<=50K
2,Private,433665.0,7th-8th,4.0,Separated,Other-service,Unmarried,White,Female,0,0,2,Mexico,<=50K
1,Self-emp-not-inc,86646.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,117789.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,2,United-States,<=50K
3,Private,45612.0,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,2,United-States,<=50K
1,Private,369027.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,165039.0,Some-college,10.0,Never-married,Other-service,Unmarried,Black,Female,0,0,2,United-States,<=50K
1,Local-gov,402089.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Private,219288.0,7th-8th,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
0,Self-emp-not-inc,368700.0,11th,7.0,Never-married,Farming-fishing,Own-child,White,Male,0,0,0,United-States,<=50K
4,,149422.0,7th-8th,4.0,Never-married,,Not-in-family,White,Male,0,0,0,United-States,<=50K
1,Private,189620.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,0,0,2,Poland,<=50K
1,Private,296450.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,125831.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,3,United-States,<=50K
1,Private,234901.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,2,United-States,<=50K
3,State-gov,193047.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,283268.0,10th,6.0,Separated,Other-service,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Private,51838.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
0,,149704.0,HS-grad,9.0,Never-married,,Not-in-family,White,Female,1,0,2,United-States,<=50K
1,Private,51471.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Private,254440.0,Assoc-voc,11.0,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,<=50K
0,Self-emp-inc,165474.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Male,0,0,2,United-States,<=50K
1,Private,135162.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
1,Local-gov,166545.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,2,United-States,<=50K
1,Self-emp-not-inc,266855.0,Bachelors,13.0,Separated,Prof-specialty,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,205865.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,White,Male,0,0,1,United-States,<=50K
1,Private,109165.0,HS-grad,9.0,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,68898.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,98155.0,Some-college,10.0,Never-married,Transport-moving,Unmarried,White,Male,0,0,2,United-States,<=50K
3,Local-gov,241843.0,Preschool,1.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,250802.0,Some-college,10.0,Divorced,Craft-repair,Unmarried,White,Male,0,0,1,United-States,<=50K
2,Private,526968.0,10th,6.0,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,<=50K
4,Private,182977.0,HS-grad,9.0,Widowed,Other-service,Not-in-family,Black,Female,1,0,2,United-States,<=50K
3,Private,122159.0,Some-college,10.0,Widowed,Prof-specialty,Not-in-family,White,Female,1,0,2,United-States,<=50K
4,Private,356067.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,198316.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0,0,3,Japan,<=50K
1,Private,389713.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Private,341204.0,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,302122.0,Assoc-voc,11.0,Divorced,Craft-repair,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,220384.0,11th,7.0,Never-married,Adm-clerical,Own-child,White,Male,0,0,0,United-States,<=50K
1,Private,118161.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
4,,140282.0,7th-8th,4.0,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,<=50K
2,Private,51100.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,154374.0,Some-college,10.0,Divorced,Other-service,Unmarried,White,Male,0,0,2,United-States,<=50K
0,Private,230891.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,State-gov,165309.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,241346.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,,165637.0,Masters,14.0,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,<=50K
3,Local-gov,176813.0,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,32406.0,Some-college,10.0,Divorced,Craft-repair,Unmarried,White,Female,0,0,0,United-States,<=50K
4,Self-emp-not-inc,208426.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,<=50K
3,Private,326297.0,HS-grad,9.0,Separated,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
1,Self-emp-not-inc,218555.0,Some-college,10.0,Never-married,Transport-moving,Not-in-family,White,Male,0,2,2,United-States,<=50K
2,Private,387430.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,164019.0,Some-college,10.0,Never-married,Farming-fishing,Own-child,Black,Male,0,0,0,United-States,<=50K
1,Private,280093.0,5th-6th,3.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2,3,United-States,<=50K
1,Private,202203.0,5th-6th,3.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,2,Mexico,<=50K
0,,138507.0,10th,6.0,Never-married,,Own-child,White,Male,0,0,0,United-States,<=50K
4,Private,269708.0,Bachelors,13.0,Divorced,Tech-support,Own-child,White,Female,1,0,0,United-States,<=50K
2,Private,173938.0,HS-grad,9.0,Separated,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
1,Federal-gov,168312.0,Assoc-voc,11.0,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,102332.0,HS-grad,9.0,Divorced,Sales,Unmarried,Black,Female,0,0,2,United-States,<=50K
2,Private,349116.0,HS-grad,9.0,Never-married,Sales,Not-in-family,Black,Male,0,0,2,United-States,<=50K
2,Private,260696.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Self-emp-not-inc,173839.0,10th,6.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,297847.0,9th,5.0,Married-civ-spouse,Other-service,Wife,Black,Female,1,0,1,United-States,<=50K
4,,347089.0,HS-grad,9.0,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,<=50K
0,Private,310152.0,Some-college,10.0,Never-married,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,State-gov,208869.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,<=50K
1,Private,57651.0,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,White,Male,0,3,2,United-States,<=50K
