Sex,DVRT,Educational_level,Leaving_Certificate,Prestige_score,Type_school
male,113,Junior_cycle_incomplete-secondary_school,not_taken,28,secondary
female,81,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,96,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,61,secondary
female,103,Senior_cycle_terminal_leaver-secondary_school,taken,30,secondary
female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,secondary
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
female,115,Senior_cycle_terminal_leaver-secondary_school,taken,57,secondary
male,92,Junior_cycle_incomplete-secondary_school,not_taken,58,secondary
female,105,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,90,Senior_cycle_terminal_leaver-secondary_school,taken,57,secondary
female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
female,99,3rd_level_complete,taken,69,secondary
female,109,Junior_cycle_terminal_leaver-secondary_school,not_taken,69,secondary
male,122,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
female,108,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
female,105,Junior_cycle_incomplete-secondary_school,not_taken,57,secondary
female,90,Junior_cycle_terminal_leaver-secondary_school,not_taken,69,secondary
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,57,secondary
male,103,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,90,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,?,secondary
female,90,Junior_cycle_incomplete-secondary_school,not_taken,37,secondary
female,110,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
male,116,Senior_cycle_terminal_leaver-secondary_school,taken,75,secondary
female,111,Junior_cycle_terminal_leaver-secondary_school,not_taken,?,secondary
male,97,Junior_cycle_terminal_leaver-secondary_school,not_taken,35,secondary
female,102,Junior_cycle_incomplete-secondary_school,not_taken,37,secondary
female,98,Junior_cycle_terminal_leaver-secondary_school,not_taken,33,secondary
female,109,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
female,118,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,125,3rd_level_complete,taken,28,secondary
female,86,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
female,92,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
male,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,vocational
male,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
female,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,93,Junior_cycle_incomplete-vocational_school,not_taken,37,vocational
male,88,Junior_cycle_incomplete-vocational_school,not_taken,43,vocational
female,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,27,vocational
female,112,Junior_cycle_incomplete-vocational_school,not_taken,37,vocational
male,98,Junior_cycle_incomplete-vocational_school,not_taken,28,vocational
female,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,103,Junior_cycle_terminal_leaver-vocational_school,not_taken,33,vocational
female,94,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
male,113,Junior_cycle_terminal_leaver-vocational_school,not_taken,?,vocational
male,70,Primary_terminal_leaver,not_taken,58,primary_terminal_leaver
female,102,Primary_terminal_leaver,not_taken,38,primary_terminal_leaver
male,101,Primary_terminal_leaver,not_taken,28,primary_terminal_leaver
female,123,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,106,Senior_cycle_terminal_leaver-secondary_school,taken,28,secondary
female,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
male,123,Senior_cycle_terminal_leaver-secondary_school,taken,35,secondary
male,99,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
male,99,3rd_level_complete,taken,37,secondary
female,122,3rd_level_complete,taken,38,secondary
male,70,Junior_cycle_incomplete-secondary_school,not_taken,18,secondary
male,107,?,not_taken,43,secondary
male,99,Junior_cycle_incomplete-secondary_school,not_taken,43,secondary
female,113,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
female,113,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,89,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
female,114,3rd_level_incomplete,taken,57,secondary
male,125,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,112,3rd_level_complete,taken,62,secondary
male,127,3rd_level_complete,taken,40,secondary
female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,38,secondary
male,119,3rd_level_incomplete,taken,69,secondary
male,95,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,70,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,40,secondary
male,129,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
female,89,Senior_cycle_incomplete-secondary_school,not_taken,37,secondary
female,72,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,94,Junior_cycle_incomplete-secondary_school,not_taken,51,secondary
female,90,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
female,94,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,90,Junior_cycle_terminal_leaver-secondary_school,not_taken,33,secondary
female,109,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,secondary
female,114,Senior_cycle_terminal_leaver-secondary_school,taken,28,secondary
female,106,3rd_level_complete,taken,61,secondary
male,110,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
female,70,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
male,84,Junior_cycle_incomplete-vocational_school,not_taken,40,vocational
male,123,Senior_cycle_incomplete-vocational_school,not_taken,36,vocational
