V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,1
I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,1
M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,1
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,1
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,1
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,1
I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,1
I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,1
M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,1
M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,1
I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,1
F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,1
F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,1
M,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,1
I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,1
I,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,1
I,0.37,0.275,0.1,0.22,0.094,0.045,0.065,1
I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,1
I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,1
M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,1
I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,1
I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,1
I,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,1
I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,1
I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,1
F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,1
I,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,1
F,0.515,0.43,0.14,0.834,0.367,0.2,0.23,1
F,0.57,0.455,0.15,1.107,0.54,0.255,0.27,1
M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,1
I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,1
I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,1
I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,1
I,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,1
M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,1
I,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,1
M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,1
F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,1
I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,1
I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,1
I,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,1
I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,1
I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,1
I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,1
I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,1
I,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,1
I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,1
I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,1
M,0.475,0.37,0.125,0.649,0.347,0.136,0.142,1
I,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,1
F,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,1
I,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,1
I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,1
I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,1
I,0.465,0.345,0.11,0.393,0.1825,0.0735,0.12,1
I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,1
I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,1
I,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,1
M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,1
M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,1
F,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,1
I,0.365,0.27,0.085,0.197,0.0815,0.0325,0.065,1
I,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,1
I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,1
I,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,1
I,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03,1
I,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,1
I,0.435,0.325,0.12,0.346,0.159,0.084,0.095,1
I,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,1
M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,1
F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,1
M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,1
F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,1
I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,1
I,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,1
F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,1
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,1
I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,1
I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,1
I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,1
I,0.285,0.21,0.07,0.109,0.044,0.0265,0.033,1
M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,1
I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,1
I,0.39,0.295,0.1,0.279,0.1155,0.059,0.08,1
F,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,1
M,0.525,0.415,0.135,0.7945,0.394,0.189,0.202,1
F,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,1
I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,1
I,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,1
I,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,1
M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,1
I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,1
I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,1
I,0.415,0.335,0.1,0.358,0.169,0.067,0.105,1
I,0.485,0.38,0.125,0.5215,0.2215,0.118,0.16,1
M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,1
I,0.39,0.29,0.09,0.2625,0.117,0.054,0.077,1
F,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,1
I,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.072,1
I,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,1
I,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,1
M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,1
I,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,1
I,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,1
I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,1
I,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,1
M,0.51,0.415,0.145,0.751,0.3295,0.1835,0.203,1
F,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,1
I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,1
M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,1
I,0.31,0.235,0.09,0.127,0.048,0.031,0.04,1
I,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,1
I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,1
I,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,1
M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,1
I,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,1
I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,1
M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,1
I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,1
I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,1
M,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,1
I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,1
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,1
I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,1
I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,1
I,0.43,0.33,0.095,0.32,0.118,0.065,0.123,1
I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,1
I,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,1
I,0.37,0.275,0.085,0.2045,0.096,0.056,0.08,1
I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,1
I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,1
I,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,1
M,0.565,0.455,0.15,0.9795,0.444,0.205,0.275,1
I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,1
I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,1
F,0.58,0.46,0.135,0.926,0.4025,0.208,0.275,1
I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,1
I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,1
I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,1
I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,1
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,2
M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,2
F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,2
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,2
M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,2
F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,2
M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,2
F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,2
F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,2
I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,2
I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,2
M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,2
F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,2
F,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,2
M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,2
M,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,2
M,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,2
F,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,2
I,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,2
M,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,2
M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,2
M,0.505,0.41,0.125,0.642,0.289,0.133,0.155,2
M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,2
F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,2
F,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,2
I,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,2
M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,2
M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,2
M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,2
F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,2
F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,2
I,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,2
I,0.53,0.415,0.13,0.694,0.3905,0.111,0.167,2
I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,2
I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,2
M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,2
M,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,2
I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,2
F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,2
M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,2
F,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,2
I,0.53,0.43,0.13,0.7045,0.346,0.1415,0.189,2
F,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,2
F,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,2
M,0.74,0.57,0.18,1.8725,0.9115,0.427,0.446,2
I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,2
I,0.55,0.425,0.15,0.639,0.269,0.1345,0.217,2
