age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
1,Private,245487.0,7th-8th,4.0,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,2,Mexico,<=50K
3,Private,193366.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,507875.0,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,226956.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0,0,1,,<=50K
2,Private,155537.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,309634.0,11th,7.0,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K
2,Private,286730.0,Some-college,10.0,Divorced,Craft-repair,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Private,194901.0,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,199915.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,254202.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,175374.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K
4,Self-emp-not-inc,494223.0,Some-college,10.0,Separated,Sales,Unmarried,Black,Male,0,2,0,United-States,<=50K
0,Private,25828.0,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
2,Private,114580.0,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Federal-gov,130760.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,1,United-States,<=50K
0,Private,65368.0,11th,7.0,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
4,Private,51744.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,Black,Male,0,4,2,United-States,<=50K
0,Private,159732.0,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,183916.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
2,Private,150042.0,Bachelors,13.0,Divorced,Prof-specialty,Own-child,White,Female,0,0,2,United-States,<=50K
1,Private,70377.0,HS-grad,9.0,Divorced,Prof-specialty,Own-child,White,Female,0,0,2,United-States,<=50K
3,Private,193884.0,7th-8th,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,Ecuador,<=50K
2,Private,169469.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,0,0,4,United-States,<=50K
4,Self-emp-not-inc,138714.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
0,,211601.0,Assoc-voc,11.0,Never-married,,Own-child,Black,Female,0,0,0,United-States,<=50K
3,Private,71195.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,3,United-States,<=50K
1,Private,156464.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
4,Self-emp-not-inc,183081.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,80914.0,Masters,14.0,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,<=50K
0,Private,232392.0,HS-grad,9.0,Never-married,Other-service,Other-relative,White,Female,0,0,2,United-States,<=50K
1,Private,166481.0,7th-8th,4.0,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,3,2,Puerto-Rico,<=50K
1,Local-gov,243867.0,11th,7.0,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,2,United-States,<=50K
4,,107762.0,HS-grad,9.0,Widowed,,Not-in-family,White,Male,0,0,1,United-States,<=50K
0,Federal-gov,191073.0,HS-grad,9.0,Never-married,Armed-Forces,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,54012.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,3,United-States,<=50K
0,,139883.0,Some-college,10.0,Never-married,,Own-child,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,170721.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
1,Private,32220.0,Assoc-acdm,12.0,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,3,United-States,<=50K
3,Private,48925.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,37070.0,Assoc-voc,11.0,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,202692.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,133937.0,Doctorate,16.0,Never-married,Prof-specialty,Own-child,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,27053.0,HS-grad,9.0,Separated,Other-service,Unmarried,White,Female,0,0,2,United-States,<=50K
0,Private,27337.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,3,United-States,<=50K
2,Self-emp-not-inc,28738.0,Assoc-acdm,12.0,Divorced,Sales,Unmarried,White,Female,0,0,1,United-States,<=50K
2,,137390.0,HS-grad,9.0,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,<=50K
2,Local-gov,175674.0,9th,5.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,109881.0,Bachelors,13.0,Never-married,Other-service,Own-child,White,Female,0,0,0,United-States,<=50K
1,Private,124187.0,HS-grad,9.0,Never-married,Farming-fishing,Own-child,Black,Male,0,0,3,United-States,<=50K
0,Private,160968.0,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
4,,167358.0,9th,5.0,Widowed,,Unmarried,White,Female,1,0,0,United-States,<=50K
3,Federal-gov,110457.0,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,State-gov,59342.0,11th,7.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
0,State-gov,335453.0,Bachelors,13.0,Never-married,Tech-support,Not-in-family,White,Female,0,0,0,United-States,<=50K
4,Private,177665.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
0,Private,214399.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
0,Private,332702.0,Assoc-voc,11.0,Never-married,Other-service,Own-child,White,Female,0,0,0,United-States,<=50K
1,Private,267736.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Black,Female,0,0,2,United-States,<=50K
2,Private,101460.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0,0,0,United-States,<=50K
3,Private,116442.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,231193.0,12th,8.0,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,1,United-States,<=50K
0,Private,106085.0,HS-grad,9.0,Never-married,Other-service,Own-child,Black,Male,0,2,1,United-States,<=50K
0,Private,32607.0,10th,6.0,Never-married,Farming-fishing,Own-child,White,Male,0,0,0,United-States,<=50K
2,Private,680390.0,HS-grad,9.0,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,1,United-States,<=50K
4,Private,86108.0,HS-grad,9.0,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,0,United-States,<=50K
1,Private,96467.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,62339.0,10th,6.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,258498.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,3,United-States,<=50K
3,Private,341995.0,Some-college,10.0,Divorced,Sales,Own-child,White,Male,0,0,3,United-States,<=50K
0,Private,202570.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,Black,Male,0,0,0,United-States,<=50K
0,Private,186648.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
2,Private,162003.0,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,3,United-States,<=50K
3,Local-gov,166398.0,Some-college,10.0,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,1,United-States,<=50K
1,Private,169240.0,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,178326.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Private,335973.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
0,Local-gov,115244.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,0,0,3,United-States,<=50K
0,Private,122346.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,93106.0,Assoc-voc,11.0,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,Private,137018.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,87643.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,117312.0,Assoc-acdm,12.0,Divorced,Tech-support,Not-in-family,White,Female,0,0,3,United-States,<=50K
1,Private,232475.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
0,,80710.0,HS-grad,9.0,Never-married,,Own-child,White,Female,0,0,2,United-States,<=50K
4,Private,168139.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,0,0,2,United-States,<=50K
0,Private,117606.0,Assoc-voc,11.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,328447.0,1st-4th,2.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,Mexico,<=50K
0,,35633.0,Some-college,10.0,Never-married,,Not-in-family,White,Male,0,0,2,,<=50K
4,Self-emp-not-inc,206291.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,202952.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,187161.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K
2,Private,135289.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,166813.0,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,185732.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K
1,Private,283767.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,,<=50K
1,Private,163594.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,342865.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,279661.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,1,United-States,<=50K
1,Private,209103.0,Assoc-voc,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
4,Local-gov,101265.0,HS-grad,9.0,Widowed,Adm-clerical,Unmarried,White,Female,1,0,1,United-States,<=50K
1,Private,40681.0,Some-college,10.0,Never-married,Prof-specialty,Not-in-family,White,Female,2,0,0,United-States,<=50K
0,,145886.0,11th,7.0,Never-married,,Own-child,White,Female,0,0,1,United-States,<=50K
0,Private,103440.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
3,Self-emp-inc,98929.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
2,Self-emp-not-inc,137314.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
3,Self-emp-not-inc,114758.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,329778.0,HS-grad,9.0,Widowed,Other-service,Unmarried,White,Female,0,0,2,United-States,<=50K
3,Federal-gov,130703.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,141327.0,Masters,14.0,Divorced,Prof-specialty,Unmarried,White,Female,0,0,1,United-States,<=50K
4,Private,311249.0,HS-grad,9.0,Widowed,Adm-clerical,Unmarried,Black,Female,0,0,2,United-States,<=50K
0,Private,98283.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,2,United-States,<=50K
1,Private,256263.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0,0,1,United-States,<=50K
3,Private,50282.0,Some-college,10.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,1,0,2,United-States,<=50K
2,Private,123983.0,Bachelors,13.0,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,2,China,<=50K
1,Private,159322.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Male,0,0,2,United-States,<=50K
1,State-gov,197156.0,HS-grad,9.0,Divorced,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K
0,Private,130806.0,10th,6.0,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,1,United-States,<=50K
3,Private,154342.0,7th-8th,4.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
3,,261059.0,10th,6.0,Separated,,Own-child,White,Male,1,0,2,United-States,<=50K
1,Self-emp-not-inc,125442.0,HS-grad,9.0,Divorced,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,216129.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,0,0,3,United-States,<=50K
4,Self-emp-not-inc,211547.0,12th,8.0,Divorced,Sales,Not-in-family,White,Female,0,0,3,United-States,<=50K
2,,200904.0,Assoc-acdm,12.0,Married-civ-spouse,,Wife,Black,Female,0,0,1,Haiti,<=50K
1,Private,39054.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
3,Local-gov,107231.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,2,United-States,<=50K
2,Private,37937.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Male,0,0,3,United-States,<=50K
0,Private,28520.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,266926.0,Some-college,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,19914.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,2,United-States,<=50K
3,Private,56482.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,2,United-States,<=50K
