age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
2,Private,215646.0,HS-grad,9.0,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Private,28887.0,11th,7.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,386940.0,Bachelors,13.0,Divorced,Exec-managerial,Own-child,White,Male,0,1,2,United-States,<=50K
3,Private,94638.0,HS-grad,9.0,Separated,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Private,56352.0,Assoc-voc,11.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Puerto-Rico,<=50K
0,Private,101509.0,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
3,Private,276515.0,Bachelors,13.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Cuba,<=50K
1,Local-gov,115585.0,Some-college,10.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,3,United-States,<=50K
0,Private,432376.0,Bachelors,13.0,Never-married,Sales,Other-relative,White,Male,0,0,2,United-States,<=50K
0,Private,301606.0,Some-college,10.0,Never-married,Other-service,Own-child,Black,Male,0,0,1,United-States,<=50K
1,Private,163127.0,Assoc-voc,11.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
2,,174662.0,Some-college,10.0,Divorced,,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,,38317.0,1st-4th,2.0,Divorced,,Not-in-family,White,Female,0,0,0,United-States,<=50K
1,State-gov,175325.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,143129.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Self-emp-not-inc,32921.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
